species,region,habitat,activity,visual_pattern,threat_level,body_length_cm,weight_kg,altitude_m,temperature_c,observation_quality
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,162.58,125.13,2975.87,27.7,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,55.19,2.71,2125.74,17.62,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,147.35,167.46,3363.17,23.54,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,84.29,71.47,165.56,26.88,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,239.66,97.4,74.99,25.97,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,152.06,78.59,3742.53,24.01,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,250.32,99.11,600.88,11.99,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,88.16,57.81,0.0,12.85,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,159.32,42.97,3422.42,26.81,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,81.42,52.35,0.0,9.57,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,125.23,41.64,26.43,32.66,faible
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,162.2,87.57,4120.11,26.87,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,164.26,33.14,4391.01,10.67,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,149.46,111.68,3807.03,16.66,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,333.99,1831.32,109.16,6.23,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,246.92,92.21,367.41,31.4,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,329.03,1810.7,430.07,17.08,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,118.48,99.51,665.58,19.79,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,70.21,9.26,2093.48,25.1,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,62.73,42.58,134.36,7.31,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,57.35,5.83,2814.46,33.85,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,77.73,51.49,0.0,9.44,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,146.25,158.25,2240.77,18.55,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,237.27,96.56,25.76,32.41,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,72.39,71.76,46.61,23.29,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,239.76,110.24,1216.96,26.51,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,319.24,1122.62,168.93,11.83,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,50.74,9.48,3692.62,14.2,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,321.04,1405.89,57.27,28.18,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,65.18,3.91,2856.3,8.04,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.79,4.28,3217.95,27.71,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,164.32,160.83,4206.28,33.06,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,153.3,71.93,686.56,20.95,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,97.49,67.66,0.0,27.2,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,66.23,7.5,3725.67,22.71,bonne
